from,to
2294,4677
12978,6307
2106,3233
914,3233
2191,13726
10696,4891
454,13809
11318,6307
4558,4281
4658,5153
290,4281
10106,5337
4600,4281
13816,13726
11108,4281
2290,4891
1131,4281
2384,5153
6950,4281
2821,13726
2874,4891
10076,4891
2874,12198
13776,4281
6950,13809
12205,6953
10076,13814
13650,13818
919,798
13650,13818
5585,1056
2089,4891
47274,6953
6153,4891
8799,13818
136,13820
4903,4281
35357,8494
4661,4923
8250,13799
6818,321
2874,4891
2874,3272
13824,13799
4362,2082
9072,13643
1149,13643
297,13814
1149,4281
2233,4281
3635,4281
2384,12481
4354,13356
2689,4281
7294,2082
613,2082
8699,2631
8103,13827
297,13814
613,13356
3711,8494
297,4281
6262,4183
5100,4520
7666,13831
2926,11765
5034,11765
605,11661
4572,1095
346,1095
13530,8381
7392,13809
7307,13838
13840,13356
6794,8494
8737,13820
3521,13841
6794,2266
321,4520
4428,13803
10777,13838
9896,13820
1840,13838
10076,13841
9928,3922
2841,13842
9928,1095
2384,13842
8714,1095
13441,13441
13650,13822
2926,4367
2363,13822
6096,13822
1149,1464
8799,43085
4572,12653
9300,13238
968,1095
12664,12664
4572,6094
12664,9769
1590,4832
12547,11300
2000,10909
10266,11765
4183,13238
297,1648
2554,4961
2926,13480
8588,13838
7460,2555
1149,11765
12107,10400
605,4298
9072,5690
5849,10909
4354,5690
8737,6791
13855,5775
13825,9305
12166,2095
5690,13809
143,13809
12166,13856
8699,2631
3874,12386
7448,10400
4231,10400
51,10350
2083,2083
6262,13480
3931,13848
4362,4807
11438,4281
9072,11009
6269,9305
10946,10350
9928,13858
8737,13843
6316,13843
2381,10400
3996,5094
4767,10400
1149,5094
943,2612
11926,5094
509,5094
11771,4903
6666,2051
2381,10400
4183,13858
11300,2051
12605,12386
1464,5744
8008,13809
13733,10400
78,2051
4231,5094
4042,13858
1465,13858
10194,2051
440,10429
3684,10429
3684,13838
360,2051
13650,13452
13867,37021
13863,13132
6986,5010
7666,1245
13870,4042
121,13132
13547,5546
4961,1459
6701,13834
1916,13834
12386,12386
9928,11031
12208,5998
2926,1245
12482,8375
406,8375
13691,13875
6153,13875
7666,5998
6794,4042
8008,13875
3485,4333
6269,9769
51,13244
13877,13691
431,2565
2083,5998
13650,13826
12301,2530
6976,13878
9502,1546
1131,13825
9871,1648
1703,12301
13726,4398
6269,12301
13884,12301
454,12301
3272,11142
10774,10774
943,9871
3106,12301
10316,13881
1233,12301
297,13888
17988,13831
2384,11142
13890,13881
10076,1363
5801,11765
3485,1363
1363,1363
10366,11765
7311,12187
12107,13886
1266,13881
3684,1019
3983,13880
2926,2625
6666,4042
3901,2051
13863,477
1073,13886
10898,8955
11919,8955
4639,4042
12664,4177
2874,6121
1050,8955
13899,9317
12858,13898
11919,10909
5034,13898
1688,13700
12386,13700
450,13700
2530,2530
4794,13826
6153,13900
7311,13900
6094,13893
13400,13893
13903,6094
5301,13898
297,3709
13825,13881
4250,8680
12664,13904
7743,4177
12120,13905
8824,13856
11919,13905
7392,13905
11142,8103
8212,8680
11142,12145
13691,13904
13906,12466
9449,8680
4903,1459
12664,13904
392,8955
454,1459
3106,4177
9072,1149
297,8955
109,8103
360,3901
4696,3709
2554,5534
425,1
11751,6307
12482,2672
1095,2672
7460,8032
11919,12210
13566,1
13825,11523
6153,13911
284,8032
13552,2672
3759,13913
965,8680
3996,13913
4170,13913
4558,8103
13915,13913
3684,4433
1508,5100
6753,12210
11318,8680
7460,13916
8008,13904
613,12145
11552,6766
2290,5744
1061,13825
13925,1946
10909,13913
4008,605
6506,13913
6153,13927
8621,4433
9072,13904
7392,13927
2294,13825
1688,9858
13930,7869
10503,8680
9022,13920
9161,9161
13825,9858
4661,13932
1384,3545
13331,13927
766,9858
6647,13898
10076,622
12039,12039
12386,4621
1,1
1847,13932
6872,13856
404,5756
4304,6936
9449,13913
12674,13922
10076,5100
1441,6094
10076,3261
3402,398
2926,6936
8588,2631
13650,13942
6153,13279
13944,6494
6101,13279
13302,1107
11716,8755
6976,13835
13825,1532
2874,13466
1590,13388
8176,2631
4008,13086
9022,9565
13825,1532
13825,1532
4053,3958
6096,13388
13785,13388
2294,4721
8032,13238
430,6094
20038,13625
13785,2389
25726,13948
7743,13938
12664,13904
11919,2389
10632,9564
1004,2389
1650,13825
5034,3958
2554,13838
13951,13938
1004,6494
12898,10476
3642,13466
2874,13628
454,10476
4231,13948
9871,6094
3684,13625
3642,290
11919,13625
13921,4298
4177,4528
8008,11765
7154,13938
51,13938
4042,290
13922,13922
4177,343
391,1832
1345,6094
6950,9833
12128,1459
6085,13938
1061,6326
11054,8755
10076,11433
13650,10476
3396,2
7666,13953
6153,13959
3272,13959
1149,13959
13625,13625
13218,2389
13960,13959
9545,13962
6269,13962
1492,4556
13963,11763
9072,10400
4231,1832
394,4528
13776,9564
394,13962
1044,9564
2954,1737
8799,6269
8799,6269
12482,6269
238,9564
13967,2223
6153,13054
4721,13054
13119,12412
13859,9062
394,6269
2627,11765
345,13962
1,11
321,290
13858,8494
10076,13969
6753,13625
1409,290
12261,13962
49,2926
430,8494
12120,13970
4144,8494
6521,290
9545,6269
346,13132
290,6269
238,6494
290,6269
7410,13965
13972,13673
6094,6269
6646,6936
2926,800
13934,6269
8008,13965
51,13377
11142,10304
3272,4856
3106,290
1345,8887
1345,1400
13000,13978
1345,6953
13263,290
11142,13978
11142,11361
9062,7313
11142,7313
4042,10095
348,10095
605,4298
51,10909
121,10909
4416,3609
13700,13982
238,10858
13984,290
8799,11361
13984,10304
1061,290
1061,9754
4961,10095
13302,12940
4572,13981
3556,13969
11751,6307
11751,6307
13825,6526
1650,12610
13992,12610
12120,13279
13941,8755
5034,12610
12705,5627
4231,1832
12705,13997
12166,13856
321,12166
2689,13997
13878,13997
6023,5010
13776,13997
51,13994
934,6269
8212,13997
13832,14726
297,14726
11568,10095
27,10095
14726,14002
2926,14002
1148,14002
20038,6194
5091,6194
12705,14002
3710,12610
11142,13958
13825,13958
5690,14002
1540,6526
1186,477
11142,14002
613,13981
14009,13673
3402,14002
4767,14002
9022,14002
8345,6269
3634,6269
6976,8176
8176,11142
3710,11142
14013,13948
8811,6651
4428,10194
1547,6430
3992,14019
10194,10194
43085,11142
13938,13788
12482,14022
4572,13054
12156,14022
6153,14022
12166,10194
2554,406
11081,406
450,303
5034,43085
13825,13927
6269,13927
6153,13898
9072,13898
9871,1619
12605,6094
4262,2672
12705,2672
10458,6753
10503,12198
12705,14027
4790,7
10194,12198
1149,43085
13879,2672
1459,4558
290,3040
13552,3040
66,3040
1532,1459
12205,14030
454,10629
10095,8799
4354,4974
9072,12301
9022,14035
12693,12301
1703,349
12310,10930
8176,6976
317,6976
9022,4974
8799,6094
14013,349
6430,6430
394,10930
7294,14029
10503,290
8008,4974
2788,14039
404,290
6316,290
613,290
11318,8894
2083,14031
8008,4558
9072,8894
6666,5010
14047,8799
13981,1619
13113,1619
1,11
13981,6131
14049,13983
11142,12301
4008,1
1015,2672
6976,5034
35840,5034
908,5210
6094,4556
10696,8799
4231,11056
10696,8799
14056,14053
7460,10930
2554,8799
2554,12734
5753,5690
4720,4556
431,10400
11919,6698
509,13132
297,4558
7460,2837
13972,6094
7690,14053
8008,10898
766,935
806,10898
6094,14059
66,2837
613,2837
12482,2837
14039,11361
13000,4246
1322,1851
9896,9950
6316,9950
14063,14063
1464,6269
66,370
437,5010
13113,10368
4042,394
2926,10368
2669,10368
12128,6269
11081,1409
3684,9197
658,935
8799,1409
10696,658
745,2837
3402,14068
10400,6269
2954,14068
2821,10134
3402,14066
13753,450
12705,10629
1131,13825
4767,10400
4767,12701
6269,10400
3811,8646
6269,12701
8799,498
11142,1409
13941,13941
9022,14074
12120,13941
3041,10368
78,12573
6269,8103
9928,13377
14039,12573
8733,290
3324,13753
12120,13127
4231,391
10774,10774
14080,382
27,10708
9928,14082
11919,12160
11919,14083
763,10368
450,14082
454,10368
14013,12832
1021,14083
6976,14085
6360,290
13628,12832
10076,10930
12660,6269
4040,4556
2149,14081
12705,6326
4558,7279
51,10400
5101,3503
12282,10898
2926,2361
13825,7279
9072,2389
12205,7392
3401,13825
360,27
9924,2389
5010,3923
1703,3676
3324,7144
3948,3509
10774,5810
2060,27
8857,14081
14094,13835
8008,13753
2926,5152
13825,7279
766,3509
1465,1409
1114,11786
2874,5309
582,11286
763,7392
3909,9624
428,14097
121,13753
10365,10365
9924,2389
745,7144
12518,9714
12518,9714
3502,10368
12088,9714
1590,9714
4144,14105
5896,13244
1049,13244
6976,14024
1573,14082
10443,8176
6153,8176
11919,8176
10076,14105
22,10368
9928,4246
35416,4721
4600,14024
35416,4721
353,7144
5371,1441
4053,4721
62165,1587
290,4721
7743,1441
13552,4246
3992,4721
4115,10368
3402,4721
3948,1441
20038,13625
3402,14101
9652,1441
4915,1441
7666,1
2622,1441
4428,5952
7721,6005
4137,1441
3948,1441
3948,1441
13753,1547
2051,1441
1441,1441
1272,1441
1441,1441
1441,1441
13825,1441
4137,1441
4528,14046
2926,1441
9610,1358
430,14113
2384,7144
8112,290
934,1441
8508,321
8508,12106
12610,8176
2874,13173
391,2837
6976,1358
14118,10819
3684,1358
380,2837
380,6094
2083,1353
10076,1547
7076,14106
4556,1441
12482,1441
9928,1441
12858,4721
5340,1441
2384,1149
12858,12858
2384,14119
13992,14119
8799,14119
35416,13121
6506,3969
9896,1587
6153,13121
13753,1441
12120,10095
8799,1044
2051,14123
4556,10095
8799,10095
9928,10095
1345,14125
7987,1441
20038,14119
1021,14092
1131,1441
1310,5420
3521,13841
10673,4701
26801,1441
13856,8932
4183,8932
13220,1587
13220,1441
1532,1441
1532,1441
1532,1441
14129,1866
1345,14123
6205,14123
13825,13825
6781,10632
8891,14054
6781,1441
1392,1441
703,2530
1441,13825
454,385
6153,3609
11142,9924
15629,3891
1021,3513
3757,6698
3874,14123
2874,3513
3684,3609
6950,6698
3684,385
2290,3757
3272,13093
5010,14123
11919,13093
17773,8275
2290,14132
1378,3676
11928,14092
3907,13981
13753,13093
8955,143
11926,3757
763,1044
8176,6950
8008,9924
9960,1441
66,1770
1061,14132
8008,14132
4790,1770
1310,1770
2060,1441
121,10400
2055,2206
14139,1384
4790,3108
450,1770
1310,3891
6651,1441
6856,1441
8799,5628
532,12106
13825,1441
5952,14143
6269,2206
4649,919
450,14143
13825,13825
14148,2497
10503,2497
8733,13825
3521,4643
78,13981
13992,11561
396,1441
1310,14149
1532,2497
2819,14147
1441,1540
14150,4832
35357,2497
1939,1587
4362,1441
4362,1441
6481,5628
1149,2330
1409,14120
4362,1441
4362,1441
6107,5420
297,12518
9928,14143
9617,5420
6818,14147
9547,13093
14157,7015
14157,14147
13825,2497
13650,13363
13825,2206
14161,14156
6794,14155
3376,12518
3684,6043
13650,5550
6976,7307
6666,4177
3891,1985
6986,1985
6666,3891
75,14165
1148,1587
6716,4692
14167,343
5550,1587
7787,2497
4716,3891
673,8646
9924,8008
8799,8008
10076,66
5034,7307
1450,14058
8430,1898
8594,14159
4790,4149
3676,13809
4354,14159
12705,13809
2621,4974
14102,13809
318,14124
4231,4149
12166,14169
2610,8646
5678,2082
5273,3261
6698,6698
3901,14169
12879,14124
3684,13825
9072,13825
10867,2482
321,13964
136,14170
10227,14170
12898,8430
8799,8430
250,14124
11142,8776
6348,8430
4556,13809
7952,1441
10368,14178
6976,6817
10901,3609
6794,4753
14180,622
2874,3609
2149,5550
4915,1056
10596,1459
4856,3261
9062,14156
4183,14177
14187,2386
9072,5482
6950,4556
13825,13670
6976,12640
11786,3503
943,11846
391,1056
13113,14178
11318,14183
4177,4528
14191,3369
391,12208
1631,5450
4800,5730
4106,1459
12660,13670
4544,4953
3684,5482
1409,1916
1353,1916
9486,14121
1532,1587
7001,13809
6950,13809
5952,13809
8799,11142
9062,13211
3041,1587
6153,14192
13753,1587
9896,10814
6094,13211
5340,1459
14196,13809
8588,13809
5442,14183
3684,5952
4720,5952
11926,5730
14102,1459
4231,14200
14039,10705
8212,10705
7437,1441
4231,4149
12705,4086
6794,4086
14058,1441
2926,1631
19475,9305
4416,9305
406,10774
13650,12981
4262,3621
6101,14205
297,14204
12721,1441
297,10705
13220,1587
4600,14183
6666,8699
6262,1631
6794,10316
1441,13809
8103,8932
8799,8646
2627,12308
1335,12952
4653,4149
66,14200
3106,14183
3996,9305
4528,1631
6101,12981
12660,402
12301,14200
673,8646
12301,394
2290,14211
14213,9305
3521,14211
4262,10007
2926,10007
23571,12952
6976,3969
4528,14167
2926,14167
431,14181
4345,4345
13785,12981
12605,4345
2874,14181
2874,14204
321,3891
10076,3891
3161,1407
8799,14216
8008,10705
7460,14211
1459,1407
12205,14216
12120,14216
1532,4558
12705,5917
12898,11291
8670,12981
7352,11291
13859,1407
2345,1441
7126,1441
4345,14216
392,13741
613,4345
12120,14216
10400,13453
6153,13453
8891,13453
7460,14211
1847,1847
3143,13321
13000,36720
2383,1441
4653,4149
450,13139
11540,14220
11016,12858
8252,8799
430,14226
2290,13741
11318,7521
1441,3005
4649,3891
4437,4437
1587,7599
11142,36720
143,238
9022,11966
2083,5627
1061,238
2191,1464
763,11966
14102,1851
532,1851
955,955
12120,11966
2384,14233
8430,238
2926,14235
2024,1464
121,9163
7320,1358
13733,1
6153,10400
8707,3578
13139,13139
6460,6976
14102,12418
11417,1245
12898,13093
14230,3560
14230,5613
4354,14233
430,14233
1335,11142
2565,2565
11142,10898
431,13289
14230,1651
4087,12018
14157,1651
14157,2565
13941,13941
13878,10898
3684,10898
11054,10898
8008,10898
7666,11
7076,11016
11966,1441
10400,1464
4312,2389
9928,416
2233,12018
14187,14241
10366,416
6666,2841
10366,2841
5627,1047
2123,1047
12858,12039
12337,1464
14243,1441
4231,14226
14245,6094
14102,1409
11919,10400
1532,1441
6153,2024
13119,1409
7352,14234
14102,1459
14253,14114
297,1459
7521,7521
1650,1459
8212,1459
10867,14255
450,14255
4,5094
333,14255
14447,416
6976,14250
3005,1441
4345,4345
13700,12064
36108,11286
4720,11286
14260,14255
2384,14259
14262,1441
14261,1441
9022,12064
9202,2612
121,2147
2874,3803
2893,11286
7437,6425
12482,1657
4354,12145
12482,11286
13824,2893
12898,2893
7392,1521
13265,6425
8050,14114
6506,5094
1047,1047
1047,1047
10366,11286
1047,273
11540,14266
14233,14233
10400,1521
14277,1459
11919,14233
51,14279
2622,14179
12120,14233
4117,14092
8733,9924
8103,14159
290,51
6976,8434
9072,13743
1056,13743
4760,51
12205,14278
430,51
13650,13743
5010,4642
9072,2678
8212,273
3402,750
430,3922
935,750
14286,3970
14286,2678
3874,3922
1573,3922
6460,6976
9867,4707
11919,14289
8252,8799
9422,1778
3684,2678
14294,1441
3684,14233
7666,1459
4428,9534
4903,1459
10366,4642
3803,14289
2233,12357
5682,1441
11727,14234
14303,4281
8050,14301
7868,14305
1168,14301
1832,10400
8699,10400
6451,10400
43085,13700
5790,4281
9422,14308
3029,12357
13753,431
1985,3280
8621,4192
11054,3248
450,14310
3909,14308
14311,3280
4231,5101
4231,6214
13650,431
943,12361
6094,13809
5998,13969
2954,431
9928,13700
10819,10819
14058,431
2926,431
2389,14233
3996,5259
1847,431
3206,12844
12120,12844
1021,4312
9449,13441
5740,4821
6043,431
14286,78
4721,13441
6085,13753
6545,13441
14286,7936
20038,78
14286,2510
2051,431
8733,4556
1650,14314
3502,10007
3948,431
297,5259
1392,9163
1176,10007
14286,11058
6506,8799
14286,7133
14321,10918
450,13441
750,13441
14286,3634
7392,11054
1050,431
12337,431
6794,14322
3684,431
2954,143
14325,14322
66,143
297,14322
4177,14322
935,431
431,143
11142,14314
11124,3280
6936,3280
12847,14335
20038,143
5952,11786
2481,14328
4600,14324
3996,14337
6827,13441
318,394
450,14337
14340,6085
14277,1459
6658,14337
12205,10400
10265,5312
13139,13707
14342,11705
6153,3503
6153,14337
2837,13707
3995,9401
2565,14337
3521,14337
1044,7224
391,51
5542,11142
2554,406
5010,6856
14350,3333
318,284
3502,284
5259,5259
392,14337
1123,13707
14351,11142
12664,14337
297,6856
1021,14337
5690,14157
10696,13707
11727,11142
5690,284
136,11142
13972,6094
9471,3280
66,1528
3521,14339
14321,4556
4231,1528
1149,14357
4194,14341
1532,10330
2191,9509
943,11705
4312,431
2554,13825
6101,5312
14127,14127
1441,14359
75,1459
12027,1049
4144,3996
11786,4721
5010,5690
11786,9509
605,3996
2807,14321
11786,3545
2233,14360
8212,10330
431,14363
1149,14337
391,394
2384,3684
6976,3684
6794,14024
11142,14365
8201,3684
431,14365
13774,3684
613,4354
9022,14365
11786,349
22,6269
297,14365
290,2051
430,2051
3684,2051
12205,1590
2926,4002
394,14365
12107,2051
13650,14367
2874,12914
10366,1657
6153,14371
14378,12914
3503,14371
8103,13453
5229,2051
4661,14324
14379,1459
13878,43085
377,3634
9072,2051
2000,2051
6153,14379
2837,14379
5010,1446
297,14219
1463,1446
11332,2051
2841,14379
6096,14324
3684,11928
345,14379
11919,2051
3992,14009
477,13983
7281,43085
8032,13453
3384,2051
12205,14362
1573,1441
745,12617
3077,14385
14389,4362
732,13453
6506,2051
12205,8799
7666,8799
1162,1459
11540,5175
5094,14379
582,5690
1044,12064
1946,12806
13220,2051
6043,2051
49,14167
5619,11142
6794,10828
184,318
12617,12617
9449,14379
4312,14367
290,14395
6107,11142
11919,14367
35357,14362
1335,6429
644,14397
1946,7521
2807,14395
394,14312
394,9534
9716,14395
11786,349
3061,14312
431,11928
284,1465
4177,344
394,13132
8103,13132
5587,344
10194,13132
2384,7521
43085,14405
8494,43085
4428,33841
14302,14397
12705,12806
13024,11786
4572,9534
2874,11786
297,14419
6976,3969
12120,14419
8430,14419
6269,5831
12039,5072
7352,13941
11142,14423
12660,5831
11142,14419
11142,11281
13566,1587
3753,14422
3811,14312
14334,11281
12705,14312
13972,766
11016,12192
5917,5072
14312,5072
9022,11727
7352,11727
8050,11727
6262,5072
35357,11281
66,14312
11142,4415
9449,14337
1004,1162
3753,3503
11786,349
4648,4622
14424,4415
6976,14425
6316,5072
4231,14312
6316,12064
10946,5450
10083,66
14254,1229
613,5450
5450,5072
297,3891
4401,14433
394,14436
2171,5072
6153,12610
1715,14433
12386,2938
11266,14439
14442,14437
9352,45
9928,9534
14444,622
1985,1985
9022,14437
14442,10446
1017,11786
9062,14494
4720,10446
12617,11765
12044,11281
8176,11765
1335,14425
4720,10446
11540,11281
51,10446
2874,5031
9928,13132
1898,14437
1044,11281
2784,10446
454,11281
14450,12610
4622,4622
14450,3710
1568,13838
14450,12484
10819,4642
7206,1459
6794,5031
14450,5487
12617,13343
2763,10446
9072,13625
7521,1459
2349,11142
13972,13827
440,14433
78,2530
8008,9924
13377,3609
3803,3609
12722,14456
391,13132
11142,14458
7,1916
2191,5513
1916,2508
5743,5513
14450,13384
1149,11786
14450,2805
13650,14459
6101,14459
14450,6214
3642,11786
2481,5513
12617,1993
3684,6770
10446,51
450,14456
9658,11786
9062,13827
5010,5690
14438,1079
14450,2805
9062,14462
11072,51
4354,45
6666,1556
360,1556
51,13684
14450,3898
1573,14462
13972,1648
36108,13132
9062,11028
14468,14464
3402,2508
11142,14456
35840,12610
3642,13741
5259,5259
11649,5259
12301,14464
1587,2051
3684,3898
6085,8547
3462,8547
12806,8257
4720,5730
1441,12573
11919,8257
2051,51
6976,11142
613,12573
11919,12301
8008,14473
14476,14371
66,14312
35416,14371
121,5031
7666,5031
9471,13827
2026,13874
3642,14371
8799,13363
14479,2508
11266,13462
4757,7725
8799,13462
13552,9468
1102,1358
4231,14312
9072,13625
4720,9468
3556,2841
10696,2841
9915,14082
4144,14252
7460,2841
10849,349
4720,10446
8857,14371
297,14371
6794,14481
297,184
9062,184
4556,184
2672,3380
7521,5031
728,3380
12858,3380
12120,3380
4556,3380
4556,3380
12386,1993
4556,3380
3521,14199
4556,3380
8991,14484
14312,14485
12660,13670
1568,1532
297,14484
4721,45
4721,45
332,14449
6794,5031
51,45
6794,45
14493,359
14494,14494
14493,359
2991,45
12120,45
4042,1353
9062,35336
14497,5210
4231,19475
397,14449
3948,10206
1,1
1441,3958
1464,14464
11786,19475
6976,6429
6316,359
10076,14199
23571,359
1345,6429
14497,3898
7521,1532
14124,11395
9481,11395
4556,11395
10820,1386
7222,359
14509,14481
2874,19475
8008,184
9545,2841
2821,2841
7710,2841
2821,2841
8799,2841
2821,2841
2821,2841
7392,2841
406,1386
1310,2841
3897,2841
12482,2841
2821,2841
6153,14510
402,2841
14094,3969
8338,12039
4915,2841
394,2841
394,2841
2821,2841
14102,2841
732,2841
14465,2841
1969,13453
6101,2841
732,2841
460,66825
7460,14506
297,1358
12107,14506
12088,2284
6794,2841
51,2841
6094,14517
14302,2284
14526,14515
11919,4354
6670,2841
6214,6214
13972,14515
102,14512
14527,11395
5031,2841
4832,2284
4701,11395
1556,1556
532,14517
4366,11395
6451,2841
4366,11877
14497,1358
4721,2841
3635,2841
3121,13119
4231,6214
14497,586
14497,2386
11332,8353
4790,2841
10076,2841
6976,1358
10849,33841
6085,7521
7307,1358
1441,2841
14494,14494
14497,2631
4042,19475
9617,14514
916,33841
14497,8176
66,2841
14334,1358
14497,6866
11142,14114
6506,14506
14533,2841
7076,1358
6794,7521
6545,14506
14493,2841
6269,1358
4177,2841
1162,2841
11928,2841
2565,19475
3901,19475
14401,2841
7281,7521
12120,14539
6976,11142
2290,6776
2384,14535
6460,7193
12660,7193
7144,7144
10076,2841
2349,10333
9300,2841
290,11847
11081,5810
10696,2841
14546,14541
2349,14510
2884,2841
9672,11395
8799,6526
14553,360
7460,3996
12858,4814
2874,2841
8103,10333
2349,370
5734,1532
318,10333
3502,9300
1176,1532
259,2841
2290,14556
3106,1532
1441,14551
8008,14552
6794,14534
582,19475
6316,2841
1610,1532
14515,14551
613,14551
9896,10814
5690,33841
10819,343
14107,3503
9481,14561
3948,14561
297,3891
11054,14558
5690,2360
14564,35336
7460,3891
1335,13835
12205,10820
4661,9850
10194,13835
12617,3711
14566,1540
14570,3023
3521,3996
7952,10194
11786,370
4149,14566
14450,8176
4231,14566
14454,5101
13220,2147
3948,3623
2290,14572
2384,2360
2290,2360
3901,10333
9417,1956
12674,14324
78,703
2164,8974
14566,8974
1021,14371
12205,13230
3503,14371
8176,8176
7666,14557
5034,9124
1532,1946
121,9124
10749,14576
14450,9124
3635,9924
12482,394
3272,14371
14566,14566
450,3824
2164,3513
4961,394
1059,394
8799,8130
14551,8130
9072,5098
3332,437
7868,2234
297,4707
3710,9124
11142,13358
5516,2234
447,1532
10266,9124
7868,11395
6976,8699
766,8799
14588,13825
9924,9924
3521,2579
13168,14576
2481,2081
14494,14143
9924,14587
35840,9124
2083,2579
7436,1197
8176,8699
297,5259
439,14576
9871,5259
1583,14559
6316,6316
2926,11632
2672,1587
13972,10675
1441,259
1532,5098
9850,9850
5091,11016
14593,6494
2233,2672
11054,1847
1409,13453
1409,317
10696,259
8799,1459
4556,14591
763,14595
1310,2841
1946,11618
9124,11632
7460,2900
2874,10701
4600,14175
51,2164
3400,6355
10273,14559
13650,14602
5175,6355
4351,6355
8103,14603
1149,6355
8891,14595
360,14354
9417,6355
290,6183
11142,14602
12205,14601
1467,6183
11072,6183
12205,13356
2284,2481
11054,1847
9449,6147
8212,6355
1384,6355
377,9300
4042,14354
380,14528
1021,2081
630,13825
12120,6183
13700,6183
11142,14155
11142,6183
11540,6355
7392,6183
9072,14155
6976,14613
2083,14155
5860,14155
630,3948
333,6183
1993,13132
14615,2266
1158,13825
14616,2900
2821,2821
11417,14572
1508,14105
1149,35357
6506,349
468,468
1149,13628
12205,468
8799,14613
9247,13822
12705,9080
11786,297
2954,14324
1946,8547
450,297
14450,8883
6262,35357
9545,14621
2874,13628
7743,468
11142,13822
9072,468
11142,11142
4231,11395
6096,13822
10316,2841
12617,4362
9072,11286
14379,11142
6096,14623
8699,8430
5100,11286
613,468
4144,11142
4720,11286
6794,9080
14494,14143
1102,10930
965,1532
6307,1532
12617,3441
3521,14585
13462,14624
14626,14624
1400,7626
14628,4362
13859,2807
6013,7626
14632,14644
14633,2807
2622,13822
6794,2672
943,66
2622,14601
13113,2672
143,11016
12192,11016
3521,66
1946,2672
4720,44243
8008,683
10076,66
2384,683
13878,2436
7743,2807
6976,317
5034,13462
3502,7626
7952,2807
10482,5309
12205,14639
12310,317
14450,14639
6101,14639
14642,3132
10400,5621
6666,14644
7743,5072
1044,630
4100,13462
8430,1492
13480,5072
9072,14233
10819,5072
353,7626
3811,5072
1149,14647
13566,896
8008,14647
3106,5072
14497,896
6307,13012
7743,2575
5690,9584
1168,1320
934,7031
14653,4246
3948,7031
6316,7031
2290,7031
14654,6355
7434,14639
35416,11072
1320,6355
9449,9035
1149,4002
343,6355
3272,7031
12205,7031
8208,7780
3206,11016
3502,7031
8430,7031
451,337
2530,14540
14661,9139
14662,2525
2530,6316
7392,14540
9928,14540
14664,14663
1898,14663
1281,10035
4622,14540
121,14540
36108,13453
6794,14623
13825,14663
7460,13453
14163,6316
7392,14660
2954,6094
613,6953
7392,4002
2693,5072
11142,6953
136,6355
6794,14667
14497,10553
8430,10446
14673,7031
14497,11142
2024,8048
14497,934
2763,10446
10819,14675
1335,11142
8799,7031
1233,7031
3199,12301
2575,12301
14493,8799
7031,12482
14493,8799
824,317
3206,14678
1532,14678
5690,14678
4661,14678
8212,14678
8588,934
14681,12482
9658,1234
430,4312
2874,14674
12660,934
2290,11016
51,4312
12337,10400
2510,1459
4720,14678
14157,1234
10076,5094
121,14220
14688,3503
10076,5094
4428,605
1898,5789
7031,4194
1980,1234
8008,6094
3935,12301
7031,6986
7031,6986
4398,10400
14302,12301
1826,1532
11016,14690
5743,14678
3556,9947
14695,1898
14497,11765
3106,2575
14450,4636
1149,10482
431,10482
14497,763
51,391
6936,14354
51,391
51,391
51,391
297,4636
51,391
297,391
297,391
348,391
14701,1651
1528,391
5537,5094
4351,10482
12301,391
6545,12301
9896,12301
5690,391
4661,14702
13444,11727
22,391
3324,14694
14450,290
9871,1887
9871,5094
12301,391
12301,391
12301,391
297,750
13756,5274
3659,13625
14706,7655
9022,14710
6827,391
7410,7626
4231,83
11054,14324
353,14324
1985,5274
3402,14726
1021,13625
14593,14711
391,391
317,13132
431,11765
22,391
2821,11765
1131,11727
9015,11727
394,14713
1345,11765
14712,14324
35416,13302
4428,9449
1059,391
3684,7144
7460,1887
121,14314
4556,935
14417,14712
14700,9300
6348,9449
10076,9449
10482,11765
7666,11025
6101,14712
14717,3993
1310,9449
4614,935
10059,935
14694,14579
14175,14175
2954,8652
947,13132
4177,9300
14450,35416
1102,9449
6094,14716
14720,9833
13825,13373
8103,8721
7031,3156
2051,8721
78,8721
4231,391
11142,14719
7,391
13377,13132
11142,8252
14720,11142
1946,9833
8050,14716
2530,14719
1650,8721
8216,13822
14302,2209
51,391
14175,10909
1946,14725
10194,12039
9022,13373
1102,5259
6153,2209
290,2209
7437,317
7392,10400
4701,1106
12482,1106
10266,12858
14733,8799
406,10400
8103,14727
6205,8721
8032,14732
9928,14727
3206,4183
4042,4183
12782,142
14288,14716
353,14114
14497,10400
7076,14597
4661,14731
353,44243
14720,4183
14450,5575
2480,4183
4231,12039
3684,11016
14740,4183
12166,370
3684,10406
11919,10406
14740,1459
14742,8699
431,4183
8008,11016
425,391
6085,14725
6085,9833
14746,6355
10076,66
9833,9833
2363,12107
14302,2660
1176,9947
5810,9947
10368,12107
1587,12107
1847,12107
1847,12107
9564,12107
12088,11054
4246,1855
12705,1855
5034,4183
7743,10049
9102,14730
1946,14730
1715,14588
12705,14588
3556,14753
5734,1855
1050,4183
14757,2720
3556,2720
6325,14753
6342,6355
3996,14008
381,2811
297,14424
20038,6194
1102,11142
1532,3621
5917,2575
14074,9062
14102,3621
12610,35416
4069,297
5690,4183
45,3509
9947,3621
14743,8755
